,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000,predicted_column
0,1056758,42328.0,856.0,0.0,0.0,0,50394,184552,2116260,8359268,6371434,639894,51190,4638,0,39454610.0,431612.0,2782.0,,4715344.0,7735174.0,78912322.0,72142386.0,39047734.0,10263578.0,6.0,0.0,0.0,0.0,34274.0,13358.0,0,0,0,0,0,0,268560,13072594,4436476,0,37508,16514,21030,32408,572048,15167946,1083288,846888,0,0,4941978,2295090,1757550,1255152,996850,823728,705760,692240,382398,3926884,122690152.0,28632.0,55552.0,69552.0,20.0,39454610.0,1238960.0,22612972.0,16403106.0,239060.0,245160.0,223840.0,93040.0,1056757.35,122690152.0,122690152.0,37485530.0,158366,328218.0,,347380.0,33755552.0,1209600.0,1509754.0,0.0,66.0,0.0,53167146.24,0.0,4672391.04,882.0,3704.0,82166,223794,798812,1843556,2970768,2409502,3005466,2641884,1821016,1980666,3138.0,72458.0,122690152.0,26206,3270,653530,633870,554164,12894082,2987228,25140,140,0,1526.0,3396.0,2320620.0,1217266.0,0.0,168.0,0.0,0.0,2849282.0,98634.0,18932.0,,,,,,,,,724196.0,351394.0,119428.0,134116954.0,17043728.0,1424784.0,257018.0,5243680.0,5958964.0,25101716.0,1144778.0,0.0,0.0,,7445.3,7276.0,1415192,1779796,1450086,713608,1750894,4054554,4096660,2295880,220478,482,0.0,0.0,1
1,791254,,,,,0,14868,921256,9292232,17829808,16418686,5286406,370400,15482,0,16175962.0,12142.0,0.0,,4115140.0,6289860.0,35402544.0,33278180.0,13792288.0,4396396.0,,0.0,0.0,0.0,,,0,0,0,0,0,0,48206,32339732,17761200,0,291518,192100,156468,142506,38551590,10814792,162,2,0,0,10722776,13721260,8503616,5099010,3309960,2280026,2307222,3015564,738916,450788,53326088.0,,,,,16175962.0,570394.0,3965738.0,9803976.0,389780.0,335600.0,272280.0,502860.0,791253.58,53326088.0,53326088.0,52153362.0,281154,,,1168940.0,50149138.0,1209600.0,,,,,41232372.48,0.0,8856571.2,,,7254,596600,7713378,6916904,11272358,14883860,7258736,1460916,38966,166,,,53326088.0,68136,11932,1957784,5499446,2049652,26852268,13372038,337520,362,0,8082.0,48246.0,35641650.0,16404972.0,692.0,106652.0,0.0,0.0,37971484.0,,,,,,,,,,,381376.0,,,,,,,,,,,,,,,,9385322,6823460,3625532,1380864,3262488,5727988,7563752,12114820,264714,198,,,1
2,785270,,8994.0,,,0,0,0,0,0,0,0,0,0,0,21002694.0,0.0,12830.0,,5792164.0,9139892.0,46717246.0,47327158.0,17820990.0,4131950.0,,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70369780.0,,,,,21002694.0,770542.0,8160358.0,9621214.0,325140.0,263720.0,251340.0,363580.0,785270.68,70369780.0,70369780.0,214.0,0,,,1132040.0,0.0,1209600.0,,262.0,26.0,0.0,48720310.08,0.0,13328594.88,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7396.0,,70369780.0,0,0,0,0,0,0,0,0,0,0,13878.0,19794.0,43400160.0,14200558.0,4744.0,294412.0,0.0,0.0,45214496.0,,,,,,,,,,,398140.0,,,,,,,,,,,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,1
3,1086734,,,0.0,0.0,0,0,0,0,30852,6514980,60480536,11500936,150142,48,30292908.0,150728.0,122.0,,0.0,0.0,56559980.0,42526318.0,24635450.0,12821428.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9836,195734,24314768,54160294,0,145308,138502,146152,139038,23191556,54215478,704588,8,2,0,28645872,13510036,6015268,4470444,4165454,6946892,11099530,3726698,99988,538,81200538.0,808.0,1778.0,2608.0,3250.0,30292908.0,1425526.0,11792288.0,12784598.0,390680.0,404820.0,403480.0,11840.0,1086733.01,81200538.0,81200538.0,80212834.0,573445,3052318.0,,42860.0,78681216.0,1209600.0,0.0,,,,67056136.32,0.0,11561998.08,0.0,0.0,0,0,0,776778,33511648,38907668,5050048,385386,48232,960,,0.0,81200538.0,50478,11412,2839770,6988174,28318670,39379702,1089922,2592,0,0,,,,,,,,,,30426.0,2228.0,,,,,,,,,862028.0,1167566.0,285656.0,0.0,0.0,2583386.0,426868.0,46558460.0,16652020.0,0.0,0.0,0.0,0.0,,22764.6,24858.0,11866174,17692108,10418606,5879290,12787218,11547080,5935580,1598690,932418,22944,0.0,0.0,1
4,33326,1298.0,,0.0,0.0,0,3564,317530,1994798,867174,52518,3564,0,0,0,1151516.0,15630.0,0.0,0.0,455764.0,755416.0,1957576.0,1953412.0,904324.0,348662.0,4.0,0.0,0.0,0.0,3446.0,306.0,0,0,0,0,0,0,2862,977518,2164770,93998,43212,17258,18444,31138,1202844,1926252,0,0,0,0,544152,1383312,317672,238488,172800,127544,105556,111942,131948,105734,3317826.0,104.0,412.0,628.0,2.0,1151516.0,51476.0,226150.0,676666.0,352140.0,301180.0,,248880.0,33326.24,3317826.0,3317826.0,3317522.0,20720,44500.0,88104.0,896540.0,3239148.0,1209600.0,0.0,,,,2083135.68,613213.44,539152.32,634.0,974.0,23934,871786,1926800,367282,38524,9294,1452,76,0,0,,0.0,3317826.0,1692,174,390590,822654,576966,1439044,8028,0,0,0,,,,,,,,,,2436.0,104.0,0.0,0.0,1130.0,614148.0,0.0,0.0,0.0,0.0,42644.0,22042.0,3746.0,18988.0,3678.0,104702.0,14504.0,7442640.0,922764.0,0.0,40106.0,0.0,0.0,23326270.0,417.32,508.0,1162614,479098,439734,235812,431494,307222,134548,47684,942,0,0.0,0.0,1
5,776540,4210.0,,0.0,0.0,0,0,0,3444,633036,8160018,27721940,12657456,415012,3174,25729930.0,3928.0,42.0,,17008.0,33604.0,43713062.0,38767180.0,7398010.0,4359462.0,0.0,0.0,0.0,0.0,4908.0,254.0,0,0,0,0,0,926404,15811478,18368810,14487388,0,279848,478320,685660,2536938,37521456,8072248,19608,0,0,2,22159700,8026592,5298680,4196126,3469294,2519948,2263114,1428220,219050,13356,51132050.0,3890.0,3994.0,782.0,34.0,25729930.0,772740.0,3600654.0,3781258.0,162180.0,235760.0,226820.0,47240.0,776539.58,51132050.0,51132050.0,50705016.0,283555,250392.0,,259860.0,49594080.0,1209600.0,1533168.0,,,,41912154.24,0.0,7639304.64,0.0,0.0,0,110,158138,3218618,16871472,23574878,5385902,338966,45252,744,,1772.0,51132050.0,35170,6310,2473004,2519662,2620832,35809340,5979352,150376,34,0,2978.0,4036.0,34873464.0,643164.0,110.0,114906.0,0.0,222.0,38102948.0,21982.0,442.0,,,,,,,,,385142.0,598572.0,148750.0,92541684.0,18584810.0,2022872.0,342592.0,4184620.0,1598064.0,47146564.0,19082.0,0.0,0.0,,11715.38,14144.0,7917796,7004684,5743474,3287374,6537582,5775276,5167240,3502940,4578868,78846,0.0,0.0,1
6,189342,2902.0,,0.0,0.0,0,29190,421322,2766290,4166820,3406008,840692,82726,4174,0,4722588.0,0.0,0.0,0.0,1512618.0,1983602.0,8722848.0,9111382.0,1835716.0,774364.0,0.0,0.0,0.0,0.0,8828.0,2552.0,0,0,0,0,0,0,0,1948958,9768264,0,15448,6610,8442,9474,17652,7785276,1561932,2312384,4,0,3450318,2673018,1674150,975124,663572,465834,346190,316862,181896,970258,12074006.0,9588.0,13454.0,4024.0,0.0,4722588.0,146508.0,635278.0,1196834.0,168740.0,160580.0,190000.0,197520.0,189342.35,12074006.0,12074006.0,11961876.0,71702,11026.0,105068.0,1164840.0,11735412.0,1209600.0,0.0,,,,10306516.8,0.0,1413129.6,86.0,1566.0,172976,475800,1025960,1385928,2298486,2178108,2197616,1547342,383900,51106,,0.0,12074006.0,15846,2430,943462,628190,430938,7632144,1999030,64988,194,0,,,,,,,,,,12412.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100322.0,63752.0,18248.0,16821056.0,2726716.0,480500.0,71998.0,19662400.0,2170452.0,607268.0,162306.0,0.0,0.0,6270570.0,,4860.0,1469598,1877694,1267074,510930,1096130,1691060,2906218,844034,54484,0,0.0,0.0,1
7,517566,,,,,0,0,0,0,66192,7975252,40461750,12912438,759642,20478,23111804.0,234882.0,278.0,,0.0,0.0,46201662.0,38223816.0,19709456.0,7673782.0,,0.0,1313210.0,0.0,,,66298,384076,723006,3650964,8239544,11956932,29111570,7867758,195604,0,852528,738544,898174,987056,3592788,52677270,2449372,16,2,2,29925136,12525556,5245032,4246492,3633044,3136756,2495572,969674,18462,28,65923930.0,,,,,23111804.0,1040084.0,9077304.0,10582736.0,334220.0,314580.0,298460.0,110280.0,517565.91,65923930.0,65923930.0,65989402.0,298347,,,453620.0,62195752.0,1209600.0,,,,,51424931.52,0.0,10729936.32,24050.0,40786.0,0,0,6182,483788,17917456,36008126,6990518,572274,95116,122292,,,65923930.0,68660,13110,6774992,4683746,9886648,34566024,6086988,115566,18,0,,,,,,,,,,,,,,,,,,,,561946.0,,,,,,,,,,,,,,29470.64,33632.0,11139932,31020298,10661418,3321906,3956102,1217588,515170,199942,162696,700,,,1
8,816316,56.0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,21971642.0,12922.0,0.0,0.0,2203208.0,3946600.0,36482040.0,31612946.0,21919394.0,5914796.0,0.0,0.0,0.0,0.0,372.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60609844.0,1166.0,1598.0,880.0,0.0,21971642.0,679768.0,12459926.0,9445462.0,547180.0,510480.0,469960.0,22880.0,816316.4,60609844.0,60609844.0,252.0,0,11930.0,65374.0,64560.0,0.0,1209600.0,0.0,,,,40681610.88,0.0,8632452.48,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,0.0,60609844.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4074.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439874.0,14288.0,3314.0,0.0,0.0,75396.0,11080.0,2766460.0,329090.0,0.0,0.0,0.0,0.0,6316400.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
9,470022,,,0.0,0.0,34,34864,729294,3860248,11802520,15758274,5869372,1403010,286538,14816,17892612.0,144336.0,0.0,,1396046.0,2243280.0,29070618.0,23073062.0,10568870.0,6722350.0,2.0,0.0,37484.0,0.0,10916.0,3352.0,0,0,0,0,0,0,30454,12441580,27286934,2,180760,101422,140790,272582,17573254,21490160,2,0,0,0,10972050,12069304,4427458,3084442,2267996,1742898,1343020,1892078,1491002,468722,41038662.0,180.0,282.0,1314.0,2192.0,17892612.0,594550.0,3040394.0,7511390.0,410220.0,479320.0,407820.0,330720.0,470021.17,41038662.0,41038662.0,41071564.0,283269,14158.0,,1070300.0,39758970.0,1209600.0,943836.0,,,,29250025.92,0.0,10479729.6,3740.0,11722.0,93238,1341586,4443502,12440280,13718754,6980686,662912,66588,11276,148,,5248.0,41038662.0,24226,4724,4475426,4788204,7054514,23183120,228756,0,0,0,2530.0,16236.0,21297828.0,17078.0,24.0,9378.0,0.0,0.0,22185518.0,37926.0,2684.0,,,,,,,,,453472.0,298158.0,76462.0,2624791420.0,17833018.0,1438846.0,198198.0,1071440.0,361380.0,32933838.0,4808.0,0.0,0.0,,9207.78,10852.0,10699400,6380564,6131560,2987872,5997906,5151240,2067400,329446,13582,0,0.0,0.0,1
